	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. 1->2 (Hz)	Excitation freq. 1->3 (Hz)	Excitation freq. 1->4 (Hz)	Excitation freq. 1->5 (Hz)	Excitation freq. 1->6 (Hz)	Excitation freq. 1->7 (Hz)	Excitation freq. 1->8 (Hz)	Excitation freq. 1->9 (Hz)	Excitation freq. 1->10 (Hz)
79	79.0	7.688257075510047	25428.198324689765	25428.198324696943	49143.82663171025	49977.27994553375	49977.27994553412	71846.50653746758	71846.50653746803	73534.98892282606	73624.71828062124
80	80.0	7.785576785326629	25599.399022997808	25599.39902299945	49487.80068500989	50320.67163174573	50320.67163174677	72365.61015202187	72365.61015202451	74052.71514331391	74141.62939918021
81	81.0	7.882896495143212	25769.52395888226	25769.52395888589	49829.58681114866	50661.888746803605	50661.88874680967	72881.36494056102	72881.36494056325	74567.12119733015	74655.23197657736
82	82.0	7.980216204959795	25938.593185675672	25938.59318567769	50169.22653508443	51000.97228615194	51000.972286155586	73393.83464877924	73393.83464878052	75078.27009352621	75165.58956229835
83	83.0	8.077535914776378	26106.626140806944	26106.626140814464	50506.76006865616	51337.96196402539	51337.96196402729	73903.08109645575	73903.08109645577	75586.22291918882	75672.76364837313
84	84.0	8.174855624592961	26273.641672000285	26273.641672002937	50842.226369211756	51672.89626946455	51672.8962694667	74409.16425006322	74409.16425006889	76091.03891580805	76176.81376550469
85	85.0	8.272175334409544	26439.658061919687	26439.658061919836	51175.66319486453	52005.81251912366	52005.812519124	74912.14229265071	74912.14229265323	76592.77555139795	76677.79757304036
86	86.0	8.369495044226126	26604.693051736922	26604.693051737097	51507.10715656394	52336.74690720378	52336.746907205445	75412.07169119766	75412.07169119906	77091.48858982771	77175.77094349173
87	87.0	8.46681475404271	26768.76386323155	26768.763863236883	51836.59376718056	52665.734552610535	52665.73455261619	75909.00726128701	75909.00726128914	77587.23215703976	77670.78804185861
88	88.0	8.564134463859292	26931.88721990542	26931.88721990758	52164.15748784381	52992.809543539996	52992.809543542884	76403.00222928401	76403.00222928768	78080.05880444167	78162.9014002179
89	89.0	8.661454173675875	27094.07936687156	27094.079366881302	52489.83177169219	53318.00497969099	53318.00497969288	76894.10829196386	76894.1082919676	78570.0195694503	78652.1619879883
90	90.0	8.758773883492458	27255.35608986678	27255.35608986839	52813.649105341545	53641.353012272186	53641.353012274696	77382.37567378118	77382.37567378813	79057.16403349215	79138.61927811897
91	91.0	8.85609359330904	27415.732733213037	27415.732733214045	53135.6410480314	53962.88488191796	53962.88488191928	77867.8531817722	77867.85318177285	79541.54037729737	79622.32130959877
92	92.0	8.953413303125624	27575.224216886403	27575.224216895826	53455.838268751744	54282.630954610104	54282.63095461035	78350.5882581249	78350.5882581252	80023.19543384248	80103.3147464494
93	93.0	9.050733012942208	27733.84505287733	27733.845052877645	53774.27058146589	54600.62075586343	54600.620755865	78830.6270306655	78830.62703066612	80502.17473892821	80581.64493352507
94	94.0	9.14805272275879	27891.609360496295	27891.609360496903	54090.9669784508	54916.88300309105	54916.88300309108	79308.01436111717	79308.01436111802	80978.52257949946	81057.355949304
95	95.0	9.245372432575373	28048.530881224062	28048.53088122524	54405.95566204549	55231.44563646388	55231.44563646642	79782.79389139713	79782.79389139819	81452.28203986064	81530.49065590122
96	96.0	9.342692142391956	28204.622992689376	28204.622992692228	54719.26407472104	55544.33584821065	55544.335848210976	80255.00808794708	80255.00808794978	81923.49504582176	82001.09074652163
97	97.0	9.440011852208539	28359.898721974787	28359.898721977122	55030.91892771937	55855.58011046011	55855.580110463	80724.69828413035	80724.69828413731	82392.20240690524	82469.1967903505
98	98.0	9.537331562025122	28514.370758442114	28514.37075844586	55340.94622832213	56165.20420188134	56165.204201882254	81191.90472094486	81191.90472095097	82858.44385676904	82934.8482753784
