	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
192	480.0	80.6037730037262	47971.51840388776	47971.51840389019	47971.51840388776
193	482.5	81.02358432145394	48096.96445632856	48096.96445633121	48096.96445633112
194	485.0	81.44339563918167	48222.085919418256	48222.08591942122	48222.08591941992
195	487.5	81.86320695690941	48346.88529980405	48346.88529980635	48346.88529980524
196	490.0	82.28301827463717	48471.36507203193	48471.365072034685	48471.36507203356
197	492.5	82.7028295923649	48595.52767912551	48595.52767912802	48595.52767912715
198	495.0	83.12264091009266	48719.375533141254	48719.37553314367	48719.37553314324
199	497.5	83.54245222782039	48842.911015718055	48842.91101572061	48842.91101572007
200	500.0	83.96226354554813	48966.13647860862	48966.1364786121	48966.13647861037
201	502.5	84.38207486327588	49089.054244205596	49089.05424420838	49089.05424420696
202	505.0	84.80188618100361	49211.666606048006	49211.66660605039	49211.66660604965
203	507.5	85.22169749873136	49333.97582932412	49333.97582932608	49333.97582932579
204	510.0	85.6415088164591	49455.9841513571	49455.98415135964	49455.98415135828
205	512.5	86.06132013418683	49577.693782084956	49577.69378208729	49577.6937820855
206	515.0	86.48113145191456	49699.106904525106	49699.1069045282	49699.10690452746
207	517.5	86.90094276964231	49820.2256752338	49820.225675236434	49820.22567523609
208	520.0	87.32075408737005	49941.052224751285	49941.052224753774	49941.05222475223
209	522.5	87.74056540509781	50061.588658038076	50061.58865804041	50061.58865803867
210	525.0	88.16037672282553	50181.83705490477	50181.837054908014	50181.83705490668
211	527.5	88.58018804055328	50301.79947043232	50301.79947043528	50301.799470433834
212	530.0	88.99999935828102	50421.4779353772	50421.47793537993	50421.4779353794
213	532.5	89.41981067600877	50540.87445657571	50540.87445657884	50540.874456576996
214	535.0	89.8396219937365	50659.991017336164	50659.99101733968	50659.99101733802
215	537.5	90.25943331146424	50778.82957782356	50778.82957782638	50778.82957782495
216	540.0	90.67924462919197	50897.39207543303	50897.392075435986	50897.39207543495
217	542.5	91.09905594691972	51015.68042516417	51015.68042516814	51015.680425166
218	545.0	91.51886726464745	51133.69651997528	51133.69651997835	51133.69651997641
219	547.5	91.9386785823752	51251.442231140914	51251.44223114456	51251.442231142726
220	550.0	92.35848990010294	51368.91940859843	51368.919408601665	51368.919408600676
221	552.5	92.77830121783067	51486.12988128503	51486.129881288034	51486.12988128582
222	555.0	93.19811253555842	51603.07545746981	51603.075457472754	51603.07545747083
223	557.5	93.61792385328617	51719.75792508097	51719.75792508431	51719.75792508269
224	560.0	94.0377351710139	51836.179052023945	51836.17905202653	51836.17905202515
225	562.5	94.45754648874166	51952.34058649296	51952.34058649589	51952.34058649476
226	565.0	94.87735780646938	52068.244257281025	52068.2442572842	52068.24425728249
